,distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,snow,time,precio
332,16.1,5.1,30,25.0,16,E10,1,1,0,0,0.5366666666666667,1.606
333,16.0,4.0,42,22.0,15,E10,0,0,0,0,0.38095238095238093,1.606
334,15.4,4.8,40,22.0,18,E10,0,0,0,0,0.385,1.606
335,17.2,3.9,35,22.0,16,E10,0,0,0,0,0.4914285714285714,1.606
336,16.6,4.6,50,22.0,25,E10,0,0,0,0,0.332,1.606
337,18.3,4.3,46,22.0,16,SP98,0,0,0,0,0.3978260869565218,1.606
338,16.1,4.8,36,22.0,18,SP98,0,1,0,0,0.44722222222222224,1.606
339,16.0,4.1,46,22.0,17,SP98,0,0,0,0,0.34782608695652173,1.606
340,16.3,4.0,35,22.0,23,SP98,0,0,0,0,0.46571428571428575,1.606
341,16.0,3.7,44,22.0,16,SP98,0,0,0,0,0.36363636363636365,1.606
342,18.3,4.3,46,22.0,23,SP98,0,0,0,0,0.3978260869565218,1.606
343,4.5,5.2,23,22.0,23,SP98,0,0,1,0,0.1956521739130435,1.606
344,17.0,4.2,48,22.0,16,SP98,0,0,0,0,0.3541666666666667,1.606
345,6.1,5.0,35,24.5,18,SP98,0,0,0,0,0.17428571428571427,1.606
346,6.1,5.0,33,22.0,24,SP98,0,0,1,0,0.18484848484848485,1.606
347,17.3,4.2,36,22.0,22,SP98,0,0,0,0,0.48055555555555557,1.606
348,6.0,4.8,27,22.0,17,SP98,0,0,0,0,0.2222222222222222,1.606
349,16.0,4.1,45,22.0,15,SP98,0,0,0,0,0.35555555555555557,1.606
350,15.4,4.9,55,22.0,18,SP98,0,0,0,0,0.28,1.606
351,15.4,4.3,39,22.0,23,SP98,0,0,0,0,0.39487179487179486,1.606
352,16.0,3.9,35,22.0,18,SP98,0,0,0,0,0.45714285714285713,1.606
353,15.4,4.5,52,22.0,26,SP98,0,0,0,0,0.29615384615384616,1.606
354,16.6,4.1,48,25.5,30,SP98,1,0,1,0,0.3458333333333334,1.606
355,15.4,5.0,48,25.5,31,SP98,1,0,0,0,0.32083333333333336,1.606
356,16.0,4.0,43,22.0,21,SP98,1,0,0,0,0.37209302325581395,1.606
357,15.4,4.5,42,22.0,30,SP98,0,0,0,0,0.3666666666666667,1.606
358,16.0,3.6,43,22.0,19,SP98,0,0,0,0,0.37209302325581395,1.606
359,20.9,4.1,33,22.0,21,SP98,0,0,0,0,0.6333333333333333,1.606
360,32.1,3.9,47,22.0,26,SP98,0,0,0,0,0.6829787234042554,1.606
361,15.3,6.6,16,24.0,27,SP98,1,0,0,0,0.95625,1.606
362,28.5,4.0,44,25.0,23,SP98,1,0,0,0,0.6477272727272727,1.606
363,11.9,3.7,33,25.0,19,SP98,0,0,0,0,0.3606060606060606,1.606
364,14.5,4.3,36,25.0,22,SP98,0,0,0,0,0.4027777777777778,1.606
365,16.6,4.1,49,22.0,26,SP98,0,0,1,0,0.33877551020408164,1.606
366,16.2,4.4,39,24.5,17,SP98,1,0,0,0,0.41538461538461535,1.606
367,16.7,3.8,44,24.5,23,SP98,0,0,1,0,0.3795454545454545,1.606
368,8.3,5.0,52,24.5,27,SP98,0,0,0,0,0.15961538461538463,1.606
369,5.5,3.7,33,24.5,28,SP98,0,0,1,0,0.16666666666666666,1.606
370,13.6,3.7,33,24.5,28,SP98,0,0,1,0,0.4121212121212121,1.606
371,16.0,3.7,39,24.5,18,SP98,0,0,0,0,0.41025641025641024,1.606
372,16.1,4.3,38,25.0,31,SP98,1,0,0,0,0.42368421052631583,1.606
373,16.0,3.8,45,25.0,19,SP98,0,0,0,0,0.35555555555555557,1.606
374,15.4,4.6,42,25.0,31,SP98,1,0,0,0,0.3666666666666667,1.606
375,14.7,5.0,25,25.0,30,SP98,1,0,0,0,0.588,1.606
